index,ticker,name,cik
0,MMM,3M,0000066740
1,AOS,A. O. Smith,0000091142
2,ABT,Abbott Laboratories,0000001800
3,ABBV,AbbVie,0001551152
4,ACN,Accenture,0001467373
5,ADBE,Adobe Inc.,0000796343
6,AMD,Advanced Micro Devices,0000002488
7,AES,AES Corporation,0000874761
8,AFL,Aflac,0000004977
9,A,Agilent Technologies,0001090872
10,APD,Air Products,0000002969
11,ABNB,Airbnb,0001559720
12,AKAM,Akamai Technologies,0001086222
13,ALB,Albemarle Corporation,0000915913
14,ARE,Alexandria Real Estate Equities,0001035443
15,ALGN,Align Technology,0001097149
16,ALLE,Allegion,0001579241
17,LNT,Alliant Energy,0000352541
18,ALL,Allstate,0000899051
19,GOOGL,Alphabet Inc. (Class A),0001652044
20,GOOG,Alphabet Inc. (Class C),0001652044
21,MO,Altria,0000764180
22,AMZN,Amazon,0001018724
23,AMCR,Amcor,0001748790
24,AEE,Ameren,0001002910
25,AEP,American Electric Power,0000004904
26,AXP,American Express,0000004962
27,AIG,American International Group,0000005272
28,AMT,American Tower,0001053507
29,AWK,American Water Works,0001410636
30,AMP,Ameriprise Financial,0000820027
31,AME,Ametek,0001037868
32,AMGN,Amgen,0000318154
33,APH,Amphenol,0000820313
34,ADI,Analog Devices,0000006281
35,AON,Aon plc,0000315293
36,APA,APA Corporation,0001841666
37,APO,Apollo Global Management,0001858681
38,AAPL,Apple Inc.,0000320193
39,AMAT,Applied Materials,0000006951
40,APP,AppLovin,0001751008
41,APTV,Aptiv,0001521332
42,ACGL,Arch Capital Group,0000947484
43,ADM,Archer Daniels Midland,0000007084
44,ANET,Arista Networks,0001596532
45,AJG,Arthur J. Gallagher & Co.,0000354190
46,AIZ,Assurant,0001267238
47,T,AT&T,0000732717
48,ATO,Atmos Energy,0000731802
49,ADSK,Autodesk,0000769397
50,ADP,Automatic Data Processing,0000008670
51,AZO,AutoZone,0000866787
52,AVB,AvalonBay Communities,0000915912
53,AVY,Avery Dennison,0000008818
54,AXON,Axon Enterprise,0001069183
55,BKR,Baker Hughes,0001701605
56,BALL,Ball Corporation,0000009389
57,BAC,Bank of America,0000070858
58,BAX,Baxter International,0000010456
59,BDX,Becton Dickinson,0000010795
60,BRK.B,Berkshire Hathaway,0001067983
61,BBY,Best Buy,0000764478
62,TECH,Bio-Techne,0000842023
63,BIIB,Biogen,0000875045
64,BLK,BlackRock,0002012383
65,BX,Blackstone Inc.,0001393818
66,XYZ,"Block, Inc.",0001512673
67,BK,BNY Mellon,0001390777
68,BA,Boeing,0000012927
69,BKNG,Booking Holdings,0001075531
70,BSX,Boston Scientific,0000885725
71,BMY,Bristol Myers Squibb,0000014272
72,AVGO,Broadcom,0001730168
73,BR,Broadridge Financial Solutions,0001383312
74,BRO,Brown & Brown,0000079282
75,BF.B,Brown–Forman,0000014693
76,BLDR,Builders FirstSource,0001316835
77,BG,Bunge Global,0001996862
78,BXP,"BXP, Inc.",0001037540
79,CHRW,C.H. Robinson,0001043277
80,CDNS,Cadence Design Systems,0000813672
81,CPT,Camden Property Trust,0000906345
82,CPB,Campbell's Company (The),0000016732
83,COF,Capital One,0000927628
84,CAH,Cardinal Health,0000721371
85,CCL,Carnival,0000815097
86,CARR,Carrier Global,0001783180
87,CAT,Caterpillar Inc.,0000018230
88,CBOE,Cboe Global Markets,0001374310
89,CBRE,CBRE Group,0001138118
90,CDW,CDW Corporation,0001402057
91,COR,Cencora,0001140859
92,CNC,Centene Corporation,0001071739
93,CNP,CenterPoint Energy,0001130310
94,CF,CF Industries,0001324404
95,CRL,Charles River Laboratories,0001100682
96,SCHW,Charles Schwab Corporation,0000316709
97,CHTR,Charter Communications,0001091667
98,CVX,Chevron Corporation,0000093410
99,CMG,Chipotle Mexican Grill,0001058090
100,CB,Chubb Limited,0000896159
101,CHD,Church & Dwight,0000313927
102,CI,Cigna,0001739940
103,CINF,Cincinnati Financial,0000020286
104,CTAS,Cintas,0000723254
105,CSCO,Cisco,0000858877
106,C,Citigroup,0000831001
107,CFG,Citizens Financial Group,0000759944
108,CLX,Clorox,0000021076
109,CME,CME Group,0001156375
110,CMS,CMS Energy,0000811156
111,KO,Coca-Cola Company (The),0000021344
112,CTSH,Cognizant,0001058290
113,COIN,Coinbase,0001679788
114,CL,Colgate-Palmolive,0000021665
115,CMCSA,Comcast,0001166691
116,CAG,Conagra Brands,0000023217
117,COP,ConocoPhillips,0001163165
118,ED,Consolidated Edison,0001047862
