text_w_sbert,text_w_finbert,comp_w_sbert,comp_w_finbert,top_k,sim_threshold,avg_appropriate,avg_inappropriate
0.3,0.7,0.3,0.7,5,0.1,0.02,4.3118
0.3,0.7,0.3,0.7,5,0.2,0.02,4.3118
0.3,0.7,0.3,0.7,5,0.3,0.02,4.3118
0.3,0.7,0.3,0.7,10,0.1,0.027,7.0756
0.3,0.7,0.3,0.7,10,0.2,0.027,7.0756
0.3,0.7,0.3,0.7,10,0.3,0.027,7.0752
0.3,0.7,0.3,0.7,15,0.1,0.0328,8.5518
0.3,0.7,0.3,0.7,15,0.2,0.0328,8.5518
0.3,0.7,0.3,0.7,15,0.3,0.0328,8.5512
0.3,0.7,0.5,0.5,5,0.1,0.0196,4.6164
0.3,0.7,0.5,0.5,5,0.2,0.0196,4.6164
0.3,0.7,0.5,0.5,5,0.3,0.0196,4.6158
0.3,0.7,0.5,0.5,10,0.1,0.0282,7.6908
0.3,0.7,0.5,0.5,10,0.2,0.0282,7.6908
0.3,0.7,0.5,0.5,10,0.3,0.0282,7.6894
0.3,0.7,0.5,0.5,15,0.1,0.0346,9.0512
0.3,0.7,0.5,0.5,15,0.2,0.0346,9.0512
0.3,0.7,0.5,0.5,15,0.3,0.0346,9.0496
0.3,0.7,0.7,0.30000000000000004,5,0.1,0.0116,3.7798
0.3,0.7,0.7,0.30000000000000004,5,0.2,0.0116,3.7798
0.3,0.7,0.7,0.30000000000000004,5,0.3,0.0116,3.7794
0.3,0.7,0.7,0.30000000000000004,10,0.1,0.0194,5.7282
0.3,0.7,0.7,0.30000000000000004,10,0.2,0.0194,5.7282
0.3,0.7,0.7,0.30000000000000004,10,0.3,0.0194,5.7272
0.3,0.7,0.7,0.30000000000000004,15,0.1,0.0288,7.133
0.3,0.7,0.7,0.30000000000000004,15,0.2,0.0288,7.133
0.3,0.7,0.7,0.30000000000000004,15,0.3,0.0288,7.1312
0.5,0.5,0.3,0.7,5,0.1,0.0222,4.5362
0.5,0.5,0.3,0.7,5,0.2,0.0222,4.5362
0.5,0.5,0.3,0.7,5,0.3,0.0222,4.533
0.5,0.5,0.3,0.7,10,0.1,0.0306,7.4804
0.5,0.5,0.3,0.7,10,0.2,0.0306,7.4804
0.5,0.5,0.3,0.7,10,0.3,0.0306,7.4716
0.5,0.5,0.3,0.7,15,0.1,0.0352,8.9114
0.5,0.5,0.3,0.7,15,0.2,0.0352,8.911
0.5,0.5,0.3,0.7,15,0.3,0.0352,8.9
0.5,0.5,0.5,0.5,5,0.1,0.0244,4.9756
0.5,0.5,0.5,0.5,5,0.2,0.0244,4.9756
0.5,0.5,0.5,0.5,5,0.3,0.0244,4.97
0.5,0.5,0.5,0.5,10,0.1,0.0382,9.9618
0.5,0.5,0.5,0.5,10,0.2,0.0382,9.961
0.5,0.5,0.5,0.5,10,0.3,0.0382,9.9428
0.5,0.5,0.5,0.5,15,0.1,0.0382,9.9618
0.5,0.5,0.5,0.5,15,0.2,0.0382,9.961
0.5,0.5,0.5,0.5,15,0.3,0.0382,9.9428
0.5,0.5,0.7,0.30000000000000004,5,0.1,0.0188,4.2418
0.5,0.5,0.7,0.30000000000000004,5,0.2,0.0188,4.2414
0.5,0.5,0.7,0.30000000000000004,5,0.3,0.0188,4.2272
0.5,0.5,0.7,0.30000000000000004,10,0.1,0.0274,6.5524
0.5,0.5,0.7,0.30000000000000004,10,0.2,0.0274,6.5518
0.5,0.5,0.7,0.30000000000000004,10,0.3,0.0272,6.5228
0.5,0.5,0.7,0.30000000000000004,15,0.1,0.034,8.1192
0.5,0.5,0.7,0.30000000000000004,15,0.2,0.034,8.1182
0.5,0.5,0.7,0.30000000000000004,15,0.3,0.0336,8.0764
0.7,0.30000000000000004,0.3,0.7,5,0.1,0.0158,2.837
0.7,0.30000000000000004,0.3,0.7,5,0.2,0.0148,2.7612
0.7,0.30000000000000004,0.3,0.7,5,0.3,0.0016,0.3994
0.7,0.30000000000000004,0.3,0.7,10,0.1,0.0224,4.66
0.7,0.30000000000000004,0.3,0.7,10,0.2,0.0206,4.5048
0.7,0.30000000000000004,0.3,0.7,10,0.3,0.002,0.5652
0.7,0.30000000000000004,0.3,0.7,15,0.1,0.0262,5.9632
0.7,0.30000000000000004,0.3,0.7,15,0.2,0.0238,5.732
0.7,0.30000000000000004,0.3,0.7,15,0.3,0.0022,0.654
0.7,0.30000000000000004,0.5,0.5,5,0.1,0.0202,3.5178
0.7,0.30000000000000004,0.5,0.5,5,0.2,0.0188,3.4098
0.7,0.30000000000000004,0.5,0.5,5,0.3,0.002,0.473
0.7,0.30000000000000004,0.5,0.5,10,0.1,0.027,5.833
0.7,0.30000000000000004,0.5,0.5,10,0.2,0.0252,5.614
0.7,0.30000000000000004,0.5,0.5,10,0.3,0.0022,0.6502
0.7,0.30000000000000004,0.5,0.5,15,0.1,0.0334,7.312
0.7,0.30000000000000004,0.5,0.5,15,0.2,0.031,6.9974
0.7,0.30000000000000004,0.5,0.5,15,0.3,0.0024,0.7332
0.7,0.30000000000000004,0.7,0.30000000000000004,5,0.1,0.022,3.87
0.7,0.30000000000000004,0.7,0.30000000000000004,5,0.2,0.02,3.723
0.7,0.30000000000000004,0.7,0.30000000000000004,5,0.3,0.0016,0.3914
0.7,0.30000000000000004,0.7,0.30000000000000004,10,0.1,0.028,6.2912
0.7,0.30000000000000004,0.7,0.30000000000000004,10,0.2,0.0248,5.9804
0.7,0.30000000000000004,0.7,0.30000000000000004,10,0.3,0.002,0.5038
0.7,0.30000000000000004,0.7,0.30000000000000004,15,0.1,0.032,7.681
0.7,0.30000000000000004,0.7,0.30000000000000004,15,0.2,0.0286,7.2412
0.7,0.30000000000000004,0.7,0.30000000000000004,15,0.3,0.002,0.5366
