id,created_at,text,sentiment,predicted_companies,valid_companies,invalid_companies
77522,2020-04-15 01:03:46+00:00,"RT @RobertBeadles: Yo💥
Enter to WIN 1,000 Monarch Tokens✅

US Stock Market Crashes &amp; what we can LEARN from them PT3!

RETWEET, WATCH video…",positive,BBY;UBER;IRM;TROW;HPQ;LULU;INTU;ALGN;ESS;PAYX,,BBY;UBER;IRM;TROW;HPQ;LULU;INTU;ALGN;ESS;PAYX
661634,2020-06-25 06:20:06+00:00,"#SriLanka surcharge on fuel removed!
⛽📉
The surcharge of Rs.26 imposed on diesel and petrol has been revoked with effect from midnight on June 23 says Power, Energy and Transport Minister Mahinda. Amaraweera -Adaderana-

#lka #FuelPrices #taxes #economy #stocks #StockMarket",negative,VTR;AVB;ESS;PNW;PCG;WEC;CCI;IRM;GEHC;BRK.B,,VTR;AVB;ESS;PNW;PCG;WEC;CCI;IRM;GEHC;BRK.B
413231,2020-06-04 15:41:45+00:00,Net issuance increases to fund fiscal programs &gt; yields spike higher &gt; risk off: #stocks and #EMFX correct lower &gt; #Fed comes in with #YCC &gt; stocks to new all time highs with 20% unemployment and -25% GDP. Fin.,positive,TFC;VTRS;OMC;PNW;DOW;IFF;AME;TROW;ITW;BLK,,TFC;VTRS;OMC;PNW;DOW;IFF;AME;TROW;ITW;BLK
760262,2020-07-03 19:39:35+00:00,RT @bentboolean: How much of Amazon's traffic is served by Fastly? Help us find out by running this tool from your IP address: https://t.co…,positive,UBER;V;BBY;PTC;ESS;DHI;KO;PSA;LKQ;IRM,,UBER;V;BBY;PTC;ESS;DHI;KO;PSA;LKQ;IRM
830153,2020-07-09 14:39:14+00:00,$AMD Ryzen 4000 desktop CPUs looking ‘great’ and on track to launch in 2020 https://t.co/y7yYvXOVYJ #madtweets #stocks #cnbc #AMD,positive,IRM;ESS;TFC;IFF;TROW;DHI;AVB;VRSN;V;VTRS,,IRM;ESS;TFC;IFF;TROW;DHI;AVB;VRSN;V;VTRS
27027,2020-04-12 21:52:56+00:00,"RT @QuantTrend: Reduce your portfolio RISK! GOLD is a perfect tail HEDGE!

Central banks balance sheet expansion &amp; large fiscal deficits &amp;…",positive,ITW;AME;V;UBER;GD;IFF;TROW;PTC;FTV;IRM,,ITW;AME;V;UBER;GD;IFF;TROW;PTC;FTV;IRM
472959,2020-06-09 05:23:06+00:00,"$863.69 Million in Sales Expected for Spirit AeroSystems Holdings, Inc. $SPR This Quarter https://t.co/zoqBvspVSj #stocks",positive,VICI;UNH;EQR;TRMB;CCI;AVB;VLTO;MDLZ;PAYX;LLY,,VICI;UNH;EQR;TRMB;CCI;AVB;VLTO;MDLZ;PAYX;LLY
392845,2020-06-02 01:12:29+00:00,"RT @ArjunKharpal: #Apple has cut the prices of the iPhone 11 range by about 12-13% in China. It's an uncommon move. 

These discounts are n…",negative,MCD;ROL;KO;UBER;AME;PHM;ITW;GOOG;GOOGL;DOW,,MCD;ROL;KO;UBER;AME;PHM;ITW;GOOG;GOOGL;DOW
313771,2020-05-07 04:58:41+00:00,"RT @SMA_alpha: The #CDC U.S. New Case data has a 2 day lag, but saw another encouraging decline #WHO Global New Case data still flat at the…",negative,UBER;AME;V;LH;PTC;ALGN;HPQ;LKQ;ITW;ROL,,UBER;AME;V;LH;PTC;ALGN;HPQ;LKQ;ITW;ROL
267894,2020-05-04 15:16:29+00:00,"Where to Look for Dependable Dividends
Read More &gt; https://t.co/qKvNFF2ih5
#etf #investing #stocks #business #news",neutral,TFC;BBY;TROW;IRM;VRSN;DHI;ESS;LKQ;IFF;VTRS,,TFC;BBY;TROW;IRM;VRSN;DHI;ESS;LKQ;IFF;VTRS
